date,country,rgdpmad,debtgdp,year,country_name,gov_revenue_gdp
1960,CAN,8752.507627924268,0.6612025015631332,1960,Canada,
1961,CAN,8832.745004192922,0.6865386839480004,1961,Canada,
1962,CAN,9276.909344428053,0.6792083011840443,1962,Canada,
1963,CAN,9566.381691293434,0.6663331853574115,1963,Canada,
1964,CAN,9999.364316051508,0.6321603705631217,1964,Canada,
1965,CAN,10472.916686595814,0.5942858442668356,1965,Canada,
1966,CAN,10946.135109398754,0.5816733635313608,1966,Canada,
1967,CAN,11078.269992166579,0.581189577236621,1967,Canada,
1968,CAN,11479.064091831378,0.5740182975091627,1968,Canada,
1969,CAN,11912.352219241327,0.5547046206719948,1969,Canada,
1970,CAN,12050.490515258263,0.5783426367359605,1970,Canada,
1971,CAN,12561.925689172991,0.5900380832017474,1971,Canada,
1972,CAN,13072.494334627207,0.577782652697601,1972,Canada,
1973,CAN,13837.895343425165,0.5333536181143088,1973,Canada,
1974,CAN,14204.68902324402,0.5045328403284655,1974,Canada,
1975,CAN,14316.26251658825,0.5083494474006666,1975,Canada,
1976,CAN,14902.391835866907,0.4365866299749812,1976,Canada,
1977,CAN,15222.680741624783,0.45150165239412543,1977,Canada,
1978,CAN,15680.200363616697,0.48022659676102847,1978,Canada,
1979,CAN,16170.145282140635,0.4527896995708154,1979,Canada,
1980,CAN,16175.706391578196,0.4563178663072744,1980,Canada,36.903
1981,CAN,16472.449799196787,0.46932890355905743,1981,Canada,38.94
1982,CAN,15779.405521012304,0.5266845731086246,1982,Canada,39.501
1983,CAN,16076.413304368663,0.5840257224976494,1983,Canada,38.972
1984,CAN,16835.824728229152,0.6167393648520737,1984,Canada,38.819
1985,CAN,17582.068954883274,0.6686944356084424,1985,Canada,38.712
1986,CAN,17862.103969653257,0.7099854407413845,1986,Canada,39.485
1987,CAN,18348.154593083917,0.7144908373457096,1987,Canada,39.682
1988,CAN,18993.076728586937,0.7108355166126499,1988,Canada,40.251
1989,CAN,19108.487068697887,0.7224708709375305,1989,Canada,40.535
1990,CAN,18872.38850546588,0.7518991176916141,1990,Canada,42.179
1991,CAN,18262.46376863137,0.8233953487693455,1991,Canada,43.078
1992,CAN,18146.724685223868,0.902315555047967,1992,Canada,43.308
1993,CAN,18309.1076884394,0.9632376399920791,1993,Canada,42.543
1994,CAN,18941.768399849854,0.9796179137160075,1994,Canada,42.076
1995,CAN,19237.797708562295,1.016010098392697,1995,Canada,42.245
1996,CAN,19330.596623229223,1.0171927577240745,1996,Canada,42.811
1997,CAN,19961.8228974183,0.9631791266441836,1997,Canada,43.502
1998,CAN,20612.3873465468,0.951645567683418,1998,Canada,43.549
1999,CAN,21563.04067519223,0.9136915092102222,1999,Canada,43.429
2000,CAN,22487.70818622514,0.8212687062792537,2000,Canada,43.197
2001,CAN,22686.64558523288,0.8265914473019219,2001,Canada,41.632
2002,CAN,23155.136569813305,0.8055399187270418,2002,Canada,40.16
2003,CAN,23406.980270190852,0.7656183155768953,2003,Canada,40.149
2004,CAN,23952.908626048553,0.7260071608622163,2004,Canada,39.902
2005,CAN,24484.344653524106,0.7160815084671124,2005,Canada,40.074
2006,CAN,24967.16720744424,0.7025527352704934,2006,Canada,40.488
2007,CAN,25300.08385970836,0.6651826078770181,2007,Canada,40.339
2008,CAN,25262.071135439153,0.7111408254117143,2008,Canada,38.96
2009,CAN,24361.021416833475,0.8330140583458961,2009,Canada,39.539
2010,CAN,24941.23562562982,0.8395317516594774,2010,Canada,38.326
2011,CAN,25470.997020197392,0.8177793009605633,2011,Canada,38.267
2012,CAN,25645.574336158857,0.8540521814513018,2012,Canada,38.402
2013,CAN,25966.337119654458,0.8612908838862671,2013,Canada,38.466
2014,CAN,26441.103335942946,0.8557941308277416,2014,Canada,38.545
2015,CAN,26402.305924722383,0.911923036151285,2015,Canada,39.957
2016,CAN,26389.803801027017,0.9173260397870192,2016,Canada,40.3
2017,CAN,26862.50104274103,0.8884123961000466,2017,Canada,40.343
2018,CAN,27137.2663834969,0.8883185847054099,2018,Canada,41.022
2019,CAN,27251.07653688964,0.8682055574212624,2019,Canada,40.572
2020,CAN,25505.010962201755,1.17459527734755,2020,Canada,41.413
1960,DEU,7705.233225059704,0.17,1960,Germany,
1961,DEU,7952.160374714721,0.17,1961,Germany,
1962,DEU,8222.121781035159,0.17,1962,Germany,
1963,DEU,8385.523537313431,0.18,1963,Germany,
1964,DEU,8822.353557426793,0.18,1964,Germany,
1965,DEU,9185.729169788685,0.18,1965,Germany,
1966,DEU,9387.59908596906,0.19,1966,Germany,
1967,DEU,9396.681113862554,0.22,1967,Germany,
1968,DEU,9864.450072541535,0.22,1968,Germany,
1969,DEU,10440.360485849507,0.2,1969,Germany,
1970,DEU,10839.145088003876,0.18,1970,Germany,
1971,DEU,11076.768851250534,0.18,1971,Germany,
1972,DEU,11480.848986690156,0.18,1972,Germany,
1973,DEU,11966.464437971166,0.18,1973,Germany,
1974,DEU,12063.031524512842,0.19,1974,Germany,
1975,DEU,12040.607595161939,0.24,1975,Germany,
1976,DEU,12683.847116890714,0.25,1976,Germany,
1977,DEU,13071.902449071224,0.26,1977,Germany,
1978,DEU,13455.319912719066,0.28,1978,Germany,
1979,DEU,13993.30072560787,0.29,1979,Germany,
1980,DEU,14114.030434326825,0.3,1980,Germany,
1981,DEU,14148.598317156628,0.34,1981,Germany,
1982,DEU,14039.640843244217,0.37,1982,Germany,
1983,DEU,14328.856704328653,0.38,1983,Germany,
1984,DEU,14783.183629779824,0.39,1984,Germany,
1985,DEU,15139.761961741166,0.39,1985,Germany,
1986,DEU,15469.014161441866,0.39,1986,Germany,
1987,DEU,15701.373182413234,0.41,1987,Germany,
1988,DEU,16160.114781678136,0.41,1988,Germany,
1989,DEU,16558.120973976776,0.39,1989,Germany,
1990,DEU,15928.845099962591,0.41,1990,Germany,
1991,DEU,16649.52350172438,0.44,1991,Germany,43.328
1992,DEU,16890.560511864,0.411883,1992,Germany,44.721
1993,DEU,16644.680242702154,0.44894300000000004,1993,Germany,45.211
1994,DEU,17027.786172939646,0.47293999999999997,1994,Germany,45.771
1995,DEU,17298.81910831468,0.5490240000000001,1995,Germany,45.804
1996,DEU,17420.220809056824,0.577939,1996,Germany,45.918
1997,DEU,17708.525215602687,0.588666,1997,Germany,45.726
1998,DEU,18028.880735795392,0.5953470000000001,1998,Germany,45.641
1999,DEU,18380.04362314571,0.601394,1999,Germany,46.62
2000,DEU,18943.516375383148,0.590658,2000,Germany,46.342
2001,DEU,19156.68989625507,0.579365,2001,Germany,44.528
